# Statistics for target cmet and method pmx_converged_openff-2.0.0.offxml_gapsys compared to exp. values:
# RMSE: root mean square deviation
# MUE: mean unsigned error
# R2: coefficient of determination
# rho: Pearson's correlation coefficent
# KTAU: Kendall's tau
# mle: maximum likelihood estimate
# stderr: standard error
# mean: average result of bootstrap samples (1000)
# low: lower bound of 95% confidence interval
# high: higher bound of 95% confidence interval
# All energy values (RMSE, MUE) in kcal/mol
# Values generated with Arsenic
,mle,stderr,mean,low,high
RMSE,1.21,0.14,1.20,0.93,1.47
MUE,0.99,0.14,0.99,0.72,1.27
R2,0.79,0.09,0.79,0.58,0.92
rho,0.89,0.05,0.89,0.77,0.96
KTAU,0.70,0.10,0.70,0.49,0.86
